"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.ts", "TypeScript", 63, 7, 13, 83
"Total", "-", 63, 7, 13, 83
